# t(ms)	mean_x1	mean_x2
32.45	-0.184577	-0.205418
32.5	-0.223504	-0.192152
32.55	-0.25909	-0.178703
32.6	-0.290984	-0.165286
32.65	-0.315616	-0.151767
32.7	-0.345206	-0.138162
32.75	-0.367394	-0.124568
32.8	-0.37997	-0.111086
32.85	-0.390711	-0.0974931
32.9	-0.400996	-0.08397
32.95	-0.40626	-0.0704214
33	-0.417605	-0.0569469
33.05	-0.440147	-0.0436007
33.1	-0.448457	-0.0303445
33.15	-0.449464	-0.0170595
33.2	-0.473846	-0.00388746
33.25	-0.48086	0.00916957
33.3	-0.490674	0.0222082
33.35	-0.488556	0.0351132
33.4	-0.503491	0.0480378
33.45	-0.513137	0.0608348
33.5	-0.495604	0.0735789
33.55	-0.49357	0.0862254
33.6	-0.506357	0.0988
33.65	-0.50876	0.111281
33.7	-0.521626	0.123769
33.75	-0.53647	0.136279
33.8	-0.539507	0.148543
33.85	-0.530568	0.16091
33.9	-0.529903	0.173227
33.95	-0.534791	0.185512
34	-0.508281	0.197882
34.05	-0.510073	0.21016
34.1	-0.506684	0.22245
34.15	-0.509908	0.234625
34.2	-0.505091	0.246869
34.25	-0.508827	0.259074
34.3	-0.522229	0.271206
34.35	-0.513536	0.283411
34.4	-0.517607	0.295585
34.45	-0.519455	0.307605
34.5	-0.519502	0.319819
34.55	-0.515667	0.331857
34.6	-0.496613	0.343818
34.65	-0.508707	0.355773
34.7	-0.518588	0.367493
34.75	-0.504804	0.379271
34.8	-0.493686	0.390958
34.85	-0.497096	0.402569
34.9	-0.499878	0.414066
34.95	-0.497667	0.425539
35	-0.488053	0.436949
35.05	-0.473825	0.448282
35.1	-0.487592	0.459444
35.15	-0.486246	0.470501
35.2	-0.47457	0.481422
35.25	-0.48265	0.492286
35.3	-0.486409	0.503042
35.35	-0.48626	0.513644
35.4	-0.487253	0.524106
35.45	-0.493835	0.534426
35.5	-0.4873	0.544736
35.55	-0.471281	0.554815
35.6	-0.456492	0.564802
35.65	-0.444584	0.574685
35.7	-0.442336	0.584438
35.75	-0.436851	0.594137
35.8	-0.429642	0.603554
35.85	-0.408004	0.612899
35.9	-0.403145	0.622129
35.95	-0.419572	0.631169
36	-0.421872	0.640039
36.05	-0.411652	0.648795
36.1	-0.427839	0.657414
36.15	-0.416275	0.665812
36.2	-0.420041	0.674077
36.25	-0.411117	0.682334
36.3	-0.418157	0.690284
36.35	-0.419212	0.698092
36.4	-0.390913	0.705853
36.45	-0.389564	0.713335
36.5	-0.405617	0.720792
36.55	-0.387396	0.728032
36.6	-0.384501	0.735047
36.65	-0.385814	0.741972
36.7	-0.392501	0.748683
36.75	-0.400042	0.755258
36.8	-0.383314	0.761771
36.85	-0.365328	0.768165
36.9	-0.357286	0.774363
36.95	-0.364014	0.780322
37	-0.358282	0.786065
37.05	-0.355082	0.791748
37.1	-0.334891	0.797336
37.15	-0.324226	0.802666
37.2	-0.313221	0.807884
37.25	-0.312378	0.812884
37.3	-0.298708	0.817832
37.35	-0.306372	0.822609
37.4	-0.289737	0.827189
37.45	-0.276013	0.83166
37.5	-0.267292	0.835944
37.55	-0.264152	0.839963
37.6	-0.264326	0.843939
37.65	-0.251919	0.847744
37.7	-0.25624	0.851465
37.75	-0.25843	0.854971
37.8	-0.261788	0.858401
37.85	-0.248972	0.86161
37.9	-0.260554	0.864672
37.95	-0.255669	0.867612
38	-0.244794	0.870506
38.05	-0.23978	0.873152
38.1	-0.240094	0.875674
38.15	-0.234783	0.877969
38.2	-0.240713	0.880175
38.25	-0.219913	0.882118
38.3	-0.204388	0.883985
38.35	-0.186065	0.885737
38.4	-0.200284	0.887321
38.45	-0.199892	0.888717
38.5	-0.194945	0.890125
38.55	-0.20621	0.891192
38.6	-0.207329	0.892165
38.65	-0.203983	0.893064
38.7	-0.176015	0.893734
38.75	-0.166345	0.894256
38.8	-0.169016	0.894704
38.85	-0.152616	0.894906
38.9	-0.147606	0.894968
38.95	-0.16351	0.89489
39	-0.138155	0.894706
39.05	-0.145005	0.894317
39.1	-0.126306	0.893821
39.15	-0.126169	0.893229
39.2	-0.122002	0.892518
39.25	-0.121666	0.891584
39.3	-0.123291	0.890507
39.35	-0.101268	0.889379
39.4	-0.100658	0.888159
39.45	-0.104767	0.886743
39.5	-0.0995733	0.885233
39.55	-0.105973	0.883542
39.6	-0.0956168	0.881736
39.65	-0.0834547	0.879827
39.7	-0.0643765	0.877681
39.75	-0.0623148	0.87544
39.8	-0.064774	0.872968
39.85	-0.0699077	0.870492
39.9	-0.0588677	0.867879
39.95	-0.0540359	0.865134
40	-0.0347921	0.86229
40.05	-0.0368446	0.859267
40.1	-0.0333902	0.856159
40.15	-0.0242751	0.852883
40.2	-0.0172547	0.849485
40.25	-0.000277622	0.84593
40.3	0.0131322	0.842271
40.35	0.0115426	0.838621
40.4	0.0359708	0.834816
40.45	0.0597139	0.830802
40.5	0.0691053	0.826811
40.55	0.0817978	0.822449
40.6	0.10034	0.818109
40.65	0.110321	0.813693
40.7	0.126675	0.809079
40.75	0.124651	0.80448
40.8	0.134864	0.799658
40.85	0.115798	0.794748
40.9	0.123846	0.789759
40.95	0.138001	0.784636
41	0.153058	0.779475
41.05	0.164303	0.774232
41.1	0.165886	0.768928
41.15	0.163479	0.763525
41.2	0.177769	0.75795
41.25	0.181895	0.75228
41.3	0.190532	0.746667
41.35	0.191161	0.740996
41.4	0.189209	0.735148
41.45	0.199761	0.729392
41.5	0.190986	0.723482
41.55	0.188718	0.717522
41.6	0.18968	0.711585
41.65	0.192514	0.70556
41.7	0.20902	0.699507
41.75	0.219229	0.693312
41.8	0.232035	0.687133
41.85	0.217537	0.680804
41.9	0.216615	0.674543
41.95	0.228735	0.668249
42	0.244041	0.661914
42.05	0.24161	0.655448
42.1	0.254539	0.649023
42.15	0.267215	0.642569
42.2	0.281473	0.636085
42.25	0.278725	0.629668
42.3	0.284409	0.623169
42.35	0.286106	0.616545
42.4	0.291957	0.609892
42.45	0.289604	0.603211
42.5	0.278644	0.596515
42.55	0.281797	0.58975
42.6	0.283567	0.582976
42.65	0.282755	0.576254
42.7	0.282193	0.569457
42.75	0.289494	0.562714
42.8	0.297544	0.555872
42.85	0.283818	0.549038
42.9	0.280364	0.54217
42.95	0.269221	0.535325
43	0.269289	0.528567
43.05	0.239362	0.521697
43.1	0.235256	0.51483
43.15	0.232268	0.507972
43.2	0.213122	0.500976
43.25	0.196692	0.494001
43.3	0.182463	0.487044
43.35	0.174864	0.480076
43.4	0.162698	0.472986
43.45	0.164135	0.465921
43.5	0.17573	0.458811
43.55	0.167882	0.451717
43.6	0.164461	0.444628
43.65	0.167299	0.437442
43.7	0.166396	0.430284
43.75	0.156542	0.423167
43.8	0.157072	0.416111
43.85	0.153673	0.408949
43.9	0.150109	0.401737
43.95	0.160314	0.394491
44	0.169088	0.387268
44.05	0.171061	0.379929
44.1	0.172403	0.372596
44.15	0.171726	0.365413
44.2	0.172335	0.358145
44.25	0.168744	0.350758
44.3	0.166498	0.343329
44.35	0.179407	0.335929
44.4	0.192644	0.328556
44.45	0.203124	0.321066
44.5	0.194709	0.313517
44.55	0.191132	0.30604
44.6	0.183274	0.29847
44.65	0.184227	0.290856
44.7	0.176955	0.283184
44.75	0.194684	0.275547
44.8	0.205057	0.267928
44.85	0.19859	0.260286
44.9	0.19723	0.252482
44.95	0.218588	0.244708
45	0.208022	0.236806
45.05	0.2033	0.228963
45.1	0.20286	0.221132
45.15	0.22308	0.213189
45.2	0.239836	0.205217
45.25	0.25275	0.197278
45.3	0.247837	0.189385
45.35	0.261323	0.181372
45.4	0.288681	0.173378
